"datasetS","uriS","hdtS","datasetT","uriT","hdtT","cDatatypesS","cDatatypesT"
"models/cs_metadata_5.rdf","http://citeseer.rkbexplorer.com/id/resource-CS546318","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","models/cs_metadata_5.rdf","http://ibm.rkbexplorer.com/id/tech-report-acc37a3f94bc6f9307dca5896b1e163c","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","3","1"
"models/cs_metadata_1.rdf","http://citeseer.rkbexplorer.com/id/resource-CS132631","http://download.lodlaundromat.org/c66ff6bbdb8eeac9c17adbe7dfe4efd5?type=hdt","models/cs_metadata_1.rdf","http://ibm.rkbexplorer.com/id/tech-report-57ff94c0369e9fdae929d5a5f44c5a52","http://download.lodlaundromat.org/c66ff6bbdb8eeac9c17adbe7dfe4efd5?type=hdt","2","1"
"models/cs_metadata_5.rdf","http://citeseer.rkbexplorer.com/id/resource-CS544904","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","models/cs_metadata_5.rdf","http://ibm.rkbexplorer.com/id/inproceedings-bc3bf5aace4d7da054b81260a15afb68","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","2","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS547382","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/inproceedings-8166ffaa65b39f770e55bc8e7e8743b6","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","3","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://citeseer.rkbexplorer.com/id/resource-CS422520","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://ibm.rkbexplorer.com/id/inproceedings-44af477fe4e03169e76a4aa521b50b15","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","3","1"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS93904","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/inproceedings-4e3bbd11d34e8695d9181be66973d976","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","3","2"
"models/cs_metadata_2.rdf","http://citeseer.rkbexplorer.com/id/resource-CS24821","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","models/cs_metadata_2.rdf","http://ibm.rkbexplorer.com/id/misc-fbac2d6111e885d7e76a084660a92cda","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","2","1"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS162091","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/inproceedings-401d85cb4142487f87bc173b82d501e0","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","2","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS573806","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/misc-6f17b1f8ceaf1bf7de30bef056e4c5b3","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","2","1"
"models/cs_metadata_2.rdf","http://citeseer.rkbexplorer.com/id/resource-CS79448","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","models/cs_metadata_2.rdf","http://ibm.rkbexplorer.com/id/inproceedings-e9e1e4e80307a5d83f5e2700dbc839db","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","2","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-058.gz","http://citeseer.rkbexplorer.com/id/resource-CS437976","http://download.lodlaundromat.org/b7081efa178bc4ab3ff3a6ef5abac9b2?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-058.gz","http://ibm.rkbexplorer.com/id/inproceedings-973d45c0e03a0e8b666a166c082241d6","http://download.lodlaundromat.org/b7081efa178bc4ab3ff3a6ef5abac9b2?type=hdt","4","2"
"models/cs_metadata_5.rdf","http://citeseer.rkbexplorer.com/id/resource-CS544126","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","models/cs_metadata_5.rdf","http://ibm.rkbexplorer.com/id/tech-report-ce9ab620295ac6b63d90d106b1fbfc26","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","2","1"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://citeseer.rkbexplorer.com/id/resource-CS292329","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://ibm.rkbexplorer.com/id/article-973ec67c4c5674f5536c1efe94713208","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","2","4"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS545672","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/inproceedings-9f84c0f309d66e1d6c09fb363b59251d","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","2","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS4056","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/thesis-d41d8cd98f00b204e9800998ecf8427e","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","5","6"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-077.gz","http://citeseer.rkbexplorer.com/id/resource-CS425594","http://download.lodlaundromat.org/218e02ed5d83d1b53f5e8499cf36e3dd?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-077.gz","http://ibm.rkbexplorer.com/id/inproceedings-0e13ced9b91a7221607fc93a9ed1bf1c","http://download.lodlaundromat.org/218e02ed5d83d1b53f5e8499cf36e3dd?type=hdt","2","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-097.gz","http://citeseer.rkbexplorer.com/id/resource-CS8853","http://download.lodlaundromat.org/b4a58165298d8476926d4ea78c6051c9?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-097.gz","http://ibm.rkbexplorer.com/id/inproceedings-33ed22bdbd7b2ef5cbc59111f7a7c82b","http://download.lodlaundromat.org/b4a58165298d8476926d4ea78c6051c9?type=hdt","3","2"
"models/cs_metadata_2.rdf","http://citeseer.rkbexplorer.com/id/resource-CS91805","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","models/cs_metadata_2.rdf","http://ibm.rkbexplorer.com/id/inproceedings-758d84680fa3c5ba90892d9f24d2d46b","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","2","2"
"models/cs_metadata_2.rdf","http://citeseer.rkbexplorer.com/id/resource-CS542855","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","models/cs_metadata_2.rdf","http://ibm.rkbexplorer.com/id/article-031a547c4355baae5ec61f2959aa9e7c","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","2","4"
